"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1969
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1969;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;04.01.;3 ;16 ;36 ;38 ;12 ;39 ;22 ;38.091.842,00 ;1  x  ;500.000,00 ;20  x  ;213.074,00 ;1.265  x     ;3.764,00 ;75.737  x    ;62,85 ;1.420.044  x;3,35  
2.;11.01.;20 ;2 ;39 ;40 ;15 ;33 ;42 ;39.579.905,50 ;4  x  ;500.000,00 ;21  x  ;140.356,55 ;1.007  x     ;4.913,05 ;59.095  x    ;83,70 ;1.173.308  x;4,20  
3.;18.01.;37 ;15 ;35 ;14 ;40 ;36 ;32 ;39.754.489,50 ;2  x  ;500.000,00 ;20  x  ;198.465,55 ;1.113  x     ;4.464,75 ;51.059  x    ;97,30 ;1.073.009  x;4,60  
4.;25.01.;38 ;40 ;9 ;49 ;10 ;5 ;33 ;39.941.520,50 ;7  x  ;500.000,00 ;16  x  ;93.293,10 ;1.305  x     ;3.825,80 ;70.440  x    ;70,85 ;1.352.534  x;3,65  
5.;01.02.;35 ;9 ;11 ;10 ;2 ;24 ;28 ;40.563.376,50 ;5  x  ;500.000,00 ;41  x  ;62.693,20 ;1.443  x     ;3.513,80 ;90.095  x    ;56,25 ;1.597.418  x;3,15  
6.;08.02.;24 ;22 ;42 ;33 ;5 ;38 ;49 ;40.027.578,50 ;6  x  ;500.000,00 ;24  x  ;83.476,95 ;1.603  x     ;3.121,30 ;87.836  x    ;56,95 ;1.510.700  x;3,30  
7.;15.02.;15 ;21 ;38 ;19 ;14 ;33 ;7 ;39.961.651,50 ;1  x  ;500.000,00 ;71  x  ;63.312,75 ;1.293  x     ;3.863,25 ;81.066  x    ;61,60 ;1.532.391  x;3,25  
8.;22.02.;20 ;45 ;26 ;27 ;40 ;37 ;29 ;39.681.037,00 ;1  x  ;500.000,00 ;16  x  ;278.758,10 ;710  x     ;6.986,05 ;48.925  x    ;101,35 ;1.104.792  x;4,45  
9.;01.03.;21 ;43 ;29 ;33 ;6 ;45 ;8 ;40.855.724,50 ;3  x  ;500.000,00 ;33  x  ;109.301,95 ;1.385  x     ;3.687,30 ;77.561  x    ;65,80 ;1.383.684  x;3,65  
10.;08.03.;42 ;36 ;48 ;41 ;9 ;21 ;39 ;40.108.443,50 ;3  x  ;500.000,00 ;41  x  ;85.696,45 ;1.476  x     ;3.396,70 ;89.302  x    ;56,10 ;1.548.361  x;3,20  
11.;15.03.;1 ;28 ;4 ;30 ;41 ;15 ;25 ;40.004.154,00 ;1  x  ;500.000,00 ;24  x  ;187.521,60 ;996  x     ;5.020,60 ;57.351  x    ;87,15 ;1.120.947  x;4,45  
12.;22.03.;9 ;49 ;45 ;11 ;41 ;32 ;5 ;39.507.204,00 ;9  x  ;438.968,90 ;29  x  ;34.057,90 ;1.299  x     ;3.801,65 ;73.972  x    ;66,75 ;1.397.765  x;3,50  
