"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1960
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1960;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;03.01.;9 ;42 ;48 ;40 ;43 ;39 ;6 ;19.318.159,50 ;2  x  ;500.000,00 ;7  x  ;209.562,95 ;317  x     ;7.452,95 ;22.552  x    ;107,05 ;499.142  x;4,80  
2.;10.01.;33 ;41 ;28 ;22 ;27 ;36 ;43 ;20.910.141,50 ;2  x  ;500.000,00 ;8  x  ;206.534,50 ;535  x     ;4.813,55 ;32.630  x    ;80,10 ;685.533  x;3,80  
3.;17.01.;14 ;24 ;49 ;33 ;15 ;7 ;23 ;20.744.724,00 ;2  x  ;500.000,00 ;22  x  ;75.767,75 ;751  x     ;3.354,55 ;41.852  x    ;61,95 ;790.968  x;3,25  
4.;24.01.;45 ;42 ;22 ;43 ;37 ;48 ;1 ;20.972.590,00 ;1  x  ;500.000,00 ;7  x  ;307.171,75 ;634  x     ;4.089,80 ;33.646  x    ;77,90 ;584.309  x;4,45  
5.;31.01.;30 ;41 ;49 ;29 ;4 ;40 ;43 ;21.546.061,00 ;1  x  ;500.000,00 ;4  x  ;500.000,00 ;474  x     ;6.089,65 ;28.211  x    ;95,45 ;541.433  x;4,95  
6.;07.02.;48 ;13 ;20 ;41 ;33 ;8 ;35 ;21.775.225,50 ;2  x  ;500.000,00 ;7  x  ;250.687,20 ;572  x     ;4.701,00 ;33.059  x    ;82,30 ;645.908  x;4,20  
7.;14.02.;10 ;12 ;28 ;45 ;26 ;22 ;2 ;21.621.254,50 ;3  x  ;500.000,00 ;23  x  ;56.323,20 ;647  x     ;4.033,80 ;38.160  x    ;70,80 ;757.634  x;3,55  
8.;21.02.;12 ;45 ;1 ;26 ;25 ;14 ;28 ;21.634.357,00 ;2  x  ;500.000,00 ;10  x  ;175.060,10 ;574  x     ;4.630,60 ;34.530  x    ;78,30 ;672.610  x;4,00  
9.;28.02.;12 ;13 ;4 ;3 ;24 ;20 ;49 ;21.584.519,50 ;5  x  ;500.000,00 ;13  x  ;17.936,50 ;986  x     ;2.700,75 ;54.955  x    ;49,05 ;959.449  x;2,80  
10.;06.03.;34 ;44 ;25 ;48 ;6 ;2 ;12 ;21.705.969,50 ;5  x  ;500.000,00 ;15  x  ;17.829,25 ;736  x     ;3.612,80 ;35.045  x    ;77,40 ;683.173  x;3,95  
11.;13.03.;28 ;19 ;46 ;41 ;32 ;43 ;7 ;21.740.996,00 ;5  x  ;500.000,00 ;37  x  ;9.514,90 ;711  x     ;3.633,15 ;42.798  x    ;63,45 ;741.989  x;3,65  
12.;20.03.;26 ;48 ;47 ;33 ;43 ;45 ;42 ;21.813.464,00 ;5  x  ;500.000,00 ;49  x  ;7.561,25 ;880  x     ;2.935,05 ;53.293  x    ;51,15 ;737.829  x;3,65  
