"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1957
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1957;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
1.;06.01.;23 ;31 ;17 ;11 ;26 ;38 ;40 ;12.542.516,50 ;6  x  ;261.302,00 ;entfällt;;812  x     ;1.930,50 ;36.748  x    ;42,60 ;556.451  x;2,80  
2.;13.01.;20 ;4 ;16 ;19 ;17 ;15 ;28 ;12.825.478,50 ;unbesetzt;;4  x  ;400.796,00 ;705  x     ;2.274,00 ;18.920  x    ;84,50 ;425.259  x;3,70  
3.;20.01.;6 ;47 ;7 ;33 ;3 ;12 ;2 ;13.543.152,00 ;1  x  ;500.000,00 ;3  x  ;400.575,00 ;572  x     ;2.944,00 ;36.502  x    ;46,30 ;670.727  x;2,50  
4.;27.01.;2 ;39 ;6 ;9 ;28 ;49 ;20 ;14.475.723,00 ;1  x  ;500.000,00 ;16  x  ;85.801,00 ;441  x     ;3.959,00 ;29.155  x    ;62,00 ;537.977  x;3,30  
5.;03.02.;12 ;6 ;39 ;30 ;43 ;34 ;14 ;15.299.259,00 ;unbesetzt;;7  x  ;273.201,00 ;301  x     ;6.353,50 ;20.182  x    ;94,50 ;448.116  x;4,20  
6.;10.02.;31 ;49 ;18 ;9 ;17 ;19 ;30 ;15.264.487,00 ;1  x  ;500.000,00 ;13  x  ;111.409,50 ;603  x     ;3.097,50 ;41.360  x    ;46,10 ;774.735  x;2,40  
7.;17.02.;1 ;31 ;42 ;35 ;9 ;15 ;48 ;15.920.144,00 ;unbesetzt;;7  x  ;284.288,00 ;348  x     ;5.718,00 ;21.505  x    ;92,50 ;475.636  x;4,10  
8.;24.02.;15 ;16 ;28 ;43 ;23 ;2 ;48 ;15.713.816,00 ;4  x  ;491.056,50 ;entfällt;;455  x     ;4.316,50 ;26.654  x    ;73,50 ;534.944  x;3,60  
9.;03.03.;36 ;9 ;34 ;4 ;11 ;45 ;8 ;16.056.010,50 ;2  x  ;500.000,00 ;11  x  ;95.269,00 ;528  x     ;3.723,50 ;36.016  x    ;55,50 ;599.964  x;3,30  
10.;10.03.;2 ;36 ;45 ;7 ;35 ;18 ;29 ;15.859.528,00 ;unbesetzt;;24  x  ;82.601,50 ;605  x     ;3.276,50 ;30.458  x    ;65,00 ;572.692  x;3,40  
