"Zahlenlotto ""6 aus 49""";;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 13. - 64. Veranstaltung 1956
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Ersatz-Gewinnklasse*;;Gewinnklasse II;; Gewinnklasse III;;   Gewinnklasse IV;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1956;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
13.;01.01.;38 ;22 ;46 ;4 ;27 ;36 ;;1.913.385,50 ;unbesetzt;;;;55  x     ;8.697,00 ;3.580  x    ;66,50 ;66.445  x;3,50  
14.;08.01.;37 ;6 ;41 ;22 ;21 ;42 ;;2.388.768,50 ;unbesetzt;;;;25  x     ;23.887,50 ;2.500  x    ;119,00 ;70.197  x;4,20  
15.;15.01.;29 ;1 ;19 ;9 ;49 ;16 ;;2.591.005,00 ;1  x  ;323.875,50 ;;;339  x     ;955,00 ;6.744  x    ;48,00 ;78.275  x;4,10  
16.;22.01.;23 ;40 ;35 ;12 ;17 ;27 ;;2.862.081,00 ;unbesetzt;;;;89  x     ;8.039,50 ;5.099  x    ;70,00 ;105.959  x;3,30  
17.;29.01.;18 ;5 ;22 ;6 ;38 ;43 ;;2.892.495,50 ;unbesetzt;;;;116  x     ;6.212,00 ;6.478  x    ;55,50 ;119.150  x;3,00  
18.;05.02.;26 ;42 ;43 ;12 ;35 ;36 ;;2.916.796,00 ;unbesetzt;;;;40  x     ;18.229,50 ;4.795  x    ;76,00 ;97.767  x;3,70  
19.;12.02.;14 ;1 ;23 ;27 ;33 ;30 ;;2.779.743,50 ;unbesetzt;;;;57  x     ;12.191,50 ;3.723  x    ;93,00 ;84.206  x;4,10  
20.;19.02.;26 ;35 ;38 ;20 ;42 ;8 ;;2.670.612,00 ;unbesetzt;;;;208  x     ;3.209,50 ;6.860  x    ;48,60 ;98.155  x;3,40  
21.;26.02.;30 ;42 ;1 ;48 ;32 ;45 ;;2.649.091,50 ;unbesetzt;;;;24  x     ;27.594,50 ;1.981  x    ;167,00 ;51.951  x;6,30  
22.;04.03.;41 ;6 ;4 ;47 ;17 ;19 ;;2.781.518,50 ;1  x  ;347.689,50 ;;;52  x     ;6.686,00 ;4.334  x    ;80,00 ;90.946  x;3,80  
23.;11.03.;6 ;28 ;9 ;26 ;20 ;22 ;;3.054.747,50 ;unbesetzt;;;;91  x     ;8.392,00 ;4.397  x    ;86,50 ;101.983  x;3,70  
24.;18.03.;26 ;10 ;3 ;49 ;24 ;38 ;;2.980.347,00 ;unbesetzt;;;;160  x     ;4.656,50 ;7.660  x    ;48,60 ;108.530  x;3,40  
25.;25.03.;42 ;16 ;18 ;3 ;37 ;19 ;;2.776.127,50 ;unbesetzt;;;;63  x     ;11.016,00 ;4.361  x    ;79,50 ;100.283  x;3,40  
26.;02.04.;25 ;10 ;32 ;7 ;43 ;22 ;;2.662.887,00 ;4  x  ;83.215,00 ;;;172  x     ;1.935,00 ;7.152  x    ;46,50 ;108.614  x;3,00  
27.;08.04.;32 ;39 ;19 ;25 ;2 ;30 ;;2.808.582,50 ;unbesetzt;;;;66  x     ;10.638,50 ;5.251  x    ;66,50 ;100.020  x;3,50  
28.;15.04.;46 ;32 ;14 ;31 ;12 ;1 ;;2.900.492,00 ;unbesetzt;;;;36  x     ;20.142,00 ;2.789  x    ;129,50 ;73.090  x;4,90  
29.;22.04.;19 ;33 ;21 ;10 ;24 ;35 ;;2.885.455,00 ;unbesetzt;;;;117  x     ;6.165,50 ;6.942  x    ;51,50 ;111.138  x;3,20  
30.;29.04.;18 ;4 ;40 ;36 ;47 ;34 ;;2.823.626,00 ;unbesetzt;;;;107  x     ;6.597,00 ;5.313  x    ;66,00 ;95.107  x;3,70  
31.;06.05.;45 ;39 ;41 ;49 ;3 ;1 ;;2.781.494,50 ;unbesetzt;;;;23  x     ;30.233,50 ;1.997  x    ;174,00 ;60.837  x;5,70  
32.;13.05.;43 ;31 ;39 ;32 ;4 ;34 ;;2.670.088,00 ;unbesetzt;;;;24  x     ;27.813,00 ;3.226  x    ;103,00 ;82.430  x;4,00  
33.;21.05.;22 ;12 ;37 ;31 ;6 ;42 ;;2.719.252,50 ;4  x  ;84.976,50 ;;;753  x     ;451,00 ;16.511  x    ;20,50 ;134.901  x;2,50  
34.;27.05.;36 ;33 ;38 ;43 ;35 ;5 ;;2.701.145,00 ;1  x  ;337.643,00 ;;;55  x     ;6.138,50 ;3.600  x    ;93,50 ;81.361  x;4,10  
35.;03.06.;36 ;34 ;35 ;11 ;33 ;17 ;;2.992.437,00 ;unbesetzt;;;;38  x     ;19.687,00 ;4.021  x    ;93,00 ;87.566  x;4,20  
36.;10.06.;23 ;40 ;14 ;46 ;10 ;16 ;;3.247.506,50 ;2  x  ;202.969,00 ;;;68  x     ;5.969,50 ;4.008  x    ;101,00 ;81.512  x;4,90  
37.;17.06.;25 ;41 ;5 ;46 ;38 ;19 ;24 ;3.482.771,00 ;1  x  ;435.346,00 ;entfällt;;111  x     ;3.922,00 ;5.879  x    ;74,00 ;112.567  x;3,80  
38.;24.06.;37 ;18 ;43 ;32 ;14 ;16 ;21 ;4.055.535,00 ;unbesetzt;0,00 ;unbesetzt;;109  x     ;9.301,50 ;7.019  x    ;72,00 ;145.857  x;3,40  
39.;01.07.;44 ;13 ;35 ;21 ;25 ;5 ;10 ;4.227.384,50 ;1  x  ;528.423,00 ;entfällt;;278  x     ;1.900,50 ;11.704  x    ;45,10 ;167.138  x;3,10  
40.;08.07.;47 ;3 ;43 ;20 ;48 ;42 ;19 ;4.751.919,50 ;unbesetzt;0,00 ;unbesetzt;;37  x     ;32.107,50 ;3.733  x    ;159,00 ;101.023  x;5,80  
41.;15.07.;48 ;12 ;19 ;17 ;34 ;23 ;32 ;4.651.842,50 ;1  x  ;581.480,00 ;entfällt;;182  x     ;3.194,50 ;12.538  x    ;46,30 ;216.187  x;2,60  
